"";"compartment_ibm";"value"
"2147";"E1_6_107";5
"2148";"E1_6_108";1
"2149";"E1_6_109";1
"2150";"E1_6_11";1
"2151";"E1_6_110";1
"2152";"E1_6_111";10
"2153";"E1_6_112";6
"2154";"E1_6_113";1
"2156";"E1_6_115";1
"2157";"E1_6_116";4
"2158";"E1_6_117";7
"2159";"E1_6_118";1
"2160";"E1_6_119";1
"2161";"E1_6_12";3
"2162";"E1_6_120";14
"2163";"E1_6_121";1
"2164";"E1_6_122";1
"2165";"E1_6_123";2
"2179";"E1_6_136";2
"2183";"E1_6_14";2
"2185";"E1_6_141";1
"2186";"E1_6_142";1
"2187";"E1_6_143";1
"2188";"E1_6_144";1
"2189";"E1_6_145";5
"2191";"E1_6_147";1
"2195";"E1_6_150";1
"2205";"E1_6_16";1
"2223";"E1_6_176";1
"2224";"E1_6_177";3
"2225";"E1_6_178";3
"2227";"E1_6_18";1
"2228";"E1_6_180";1
"2236";"E1_6_188";1
"2239";"E1_6_190";1
"2240";"E1_6_191";2
"2241";"E1_6_192";2
"2242";"E1_6_193";1
"2243";"E1_6_194";2
