county	compartment	value
municip1106	relative_reproduction_number	1.00619849942026
municip5055	relative_reproduction_number	0.725224634385566
municip1832	relative_reproduction_number	0.631387718932713
municip3042	relative_reproduction_number	0.947838491587885
municip1515	relative_reproduction_number	0.636938868360863
municip1818	relative_reproduction_number	0.896819112665779
municip5056	relative_reproduction_number	1.00906200556755
municip3819	relative_reproduction_number	0.884055406595708
municip1133	relative_reproduction_number	0.916251017517608
municip3044	relative_reproduction_number	0.977754745517256
municip3038	relative_reproduction_number	0.966400711246317
municip3802	relative_reproduction_number	0.959771668821151
municip5026	relative_reproduction_number	0.776357483977375
municip3801	relative_reproduction_number	0.950553719483998
municip3037	relative_reproduction_number	0.981248850480017
municip1579	relative_reproduction_number	0.765441422599214
municip3011	relative_reproduction_number	0.967178587459386
municip4637	relative_reproduction_number	1.05000702866936
municip4226	relative_reproduction_number	0.883393078025407
municip4638	relative_reproduction_number	0.836916111475904
municip5046	relative_reproduction_number	0.910658021248705
municip1119	relative_reproduction_number	0.846398531320541
municip5413	relative_reproduction_number	0.943093461639525
municip5053	relative_reproduction_number	0.959318274602539
municip5054	relative_reproduction_number	0.647136461957353
municip4218	relative_reproduction_number	0.93437726483557
municip3053	relative_reproduction_number	0.96494115436254
municip5437	relative_reproduction_number	0.647037897244426
municip5423	relative_reproduction_number	0.852534767218106
municip1149	relative_reproduction_number	0.915625235832537
municip5430	relative_reproduction_number	0.656035983256306
municip4602	relative_reproduction_number	0.809645907542423
municip1120	relative_reproduction_number	0.919721076529687
municip3006	relative_reproduction_number	1.0101815478947
municip3814	relative_reproduction_number	0.85993295545922
municip1505	relative_reproduction_number	0.836830329497943
municip3046	relative_reproduction_number	0.972402729203506
municip4622	relative_reproduction_number	0.947431614446908
municip4227	relative_reproduction_number	0.825148155373818
municip4617	relative_reproduction_number	0.758122670389993
municip3821	relative_reproduction_number	0.752468578926315
municip1144	relative_reproduction_number	0.880088905137264
municip5411	relative_reproduction_number	0.920250670063446
municip5429	relative_reproduction_number	0.847373486309618
municip5426	relative_reproduction_number	0.579156743489759
municip5415	relative_reproduction_number	0.880181707595734
municip5438	relative_reproduction_number	0.834900363880888
municip1822	relative_reproduction_number	0.8110563716107
municip5052	relative_reproduction_number	0.869346805014276
municip3432	relative_reproduction_number	0.910326593369955
municip5037	relative_reproduction_number	0.858138797553617
municip3049	relative_reproduction_number	1.04579818231805
municip5042	relative_reproduction_number	0.877561460474575
municip3405	relative_reproduction_number	0.942622649886919
municip4215	relative_reproduction_number	0.843450888651772
municip4205	relative_reproduction_number	0.924840364205845
municip3434	relative_reproduction_number	0.925203671003013
municip5432	relative_reproduction_number	0.897191328714427
municip1112	relative_reproduction_number	0.806933641153555
municip3054	relative_reproduction_number	0.983934817731091
municip1834	relative_reproduction_number	0.841151963836884
municip4644	relative_reproduction_number	0.741811245339275
municip4225	relative_reproduction_number	0.952088985787734
