bydel,grunnkrets,east_west
ward030106,grunnkrets03015501,west
ward030106,grunnkrets03015502,west
ward030106,grunnkrets03015503,west
ward030106,grunnkrets03015504,west
ward030107,grunnkrets03015006,west
ward030107,grunnkrets03015201,west
ward030107,grunnkrets03015202,west
ward030107,grunnkrets03015203,west
ward030107,grunnkrets03015204,west
ward030107,grunnkrets03015211,west
ward030107,grunnkrets03015212,west
ward030107,grunnkrets03015209,west
ward030107,grunnkrets03015001,west
ward030107,grunnkrets03015002,west
ward030107,grunnkrets03015003,west
ward030107,grunnkrets03015004,west
ward030107,grunnkrets03015005,west
ward030107,grunnkrets03015007,west
ward030107,grunnkrets03015008,west
ward030107,grunnkrets03014801,west
ward030107,grunnkrets03014802,west
ward030107,grunnkrets03014901,west
ward030107,grunnkrets03014902,west
ward030107,grunnkrets03014910,west
ward030107,grunnkrets03014911,west
ward030107,grunnkrets03014912,west
ward030107,grunnkrets03014903,west
ward030107,grunnkrets03014906,west
ward030107,grunnkrets03014907,west
ward030107,grunnkrets03014908,west
ward030107,grunnkrets03014909,west
ward030107,grunnkrets03014601,west
ward030107,grunnkrets03014602,west
ward030107,grunnkrets03014611,west
ward030107,grunnkrets03014905,west
ward030107,grunnkrets03014603,west
ward030107,grunnkrets03014705,west
ward030107,grunnkrets03014904,west
ward030107,grunnkrets03014604,west
ward030107,grunnkrets03014701,west
ward030107,grunnkrets03014702,west
ward030107,grunnkrets03014704,west
ward030108,grunnkrets03014117,west
ward030108,grunnkrets03014407,west
ward030108,grunnkrets03014408,west
ward030108,grunnkrets03014412,west
ward030108,grunnkrets03014416,west
ward030108,grunnkrets03014409,west
ward030108,grunnkrets03014410,west
ward030108,grunnkrets03014417,west
ward030108,grunnkrets03014418,west
ward030108,grunnkrets03014403,west
ward030108,grunnkrets03014405,west
ward030108,grunnkrets03014406,west
ward030108,grunnkrets03014414,west
ward030108,grunnkrets03014415,west
ward030108,grunnkrets03014401,west
ward030108,grunnkrets03014402,west
ward030108,grunnkrets03014411,west
ward030108,grunnkrets03014413,west
ward030108,grunnkrets03014501,west
ward030108,grunnkrets03014502,west
ward030108,grunnkrets03014509,west
ward030108,grunnkrets03014419,west
ward030108,grunnkrets03014420,west
ward030108,grunnkrets03014507,west
ward030108,grunnkrets03014508,west
ward030108,grunnkrets03014513,west
ward030108,grunnkrets03014503,west
ward030108,grunnkrets03014504,west
ward030108,grunnkrets03014511,west
ward030108,grunnkrets03014512,west
ward030108,grunnkrets03014607,west
